frame_id,timestamp,contact_label,dist_raw,dist_local,v_n,a_n,sigma_d,v_t,approach_theta,shadow_score,flow_mag,brightness_contact,dist2d_palm_0,dist2d_palm_5,dist2d_palm_9,dist2d_palm_13,dist2d_palm_17,hull_overlap_ratio,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
0,1694850129.336732,1,12.1297,12.1297,0.0000,0.0000,0.0000,0.0000,,7068.3282,0.0000,134.4429,226.7343,41.5045,28.4045,58.4967,98.2741,0.035378,0.616295,0.743819,-0.000000,0.553710,0.755698,-0.017180,0.492146,0.694571,-0.013213,0.456727,0.620009,-0.001392,0.455988,0.577860,0.011187,0.507353,0.557336,-0.025857,0.450484,0.479953,-0.017960,0.421640,0.440011,-0.012254,0.400698,0.403802,-0.010106,0.540853,0.519784,-0.008561,0.492652,0.542112,0.005383,0.491319,0.593082,0.017962,0.502573,0.622468,0.024206,0.568000,0.520501,0.009445,0.522932,0.549542,0.018388,0.520889,0.591237,0.021630,0.529998,0.617715,0.021562,0.588561,0.534105,0.026975,0.552936,0.555605,0.032771,0.547667,0.588214,0.034963,0.555533,0.619297,0.036297
1,1694850129.345065,1,-11.0899,-11.0899,-23.2195,-23.2195,11.6098,1119.3235,3.3181,6762.9008,1.6524,134.6698,223.8541,40.7154,25.5685,55.7808,95.4473,0.033403,0.615959,0.747687,-0.000000,0.551973,0.757101,-0.013938,0.492390,0.695005,-0.010620,0.458576,0.620147,-0.000658,0.456516,0.579407,0.009753,0.505608,0.558095,-0.023094,0.450526,0.480196,-0.016065,0.421962,0.442042,-0.011455,0.400810,0.409533,-0.010033,0.540101,0.519849,-0.007827,0.492557,0.540052,0.005567,0.489554,0.590603,0.017592,0.499259,0.623193,0.023405,0.568775,0.520491,0.008394,0.523123,0.548377,0.017292,0.519877,0.588730,0.021042,0.528437,0.617784,0.021313,0.590253,0.534963,0.024422,0.553699,0.553546,0.030933,0.546867,0.585417,0.034135,0.554056,0.616595,0.036115
2,1694850129.353398,1,-11.9309,-11.9309,-12.0303,11.1893,11.1493,575.9248,10.0191,6745.1248,1.2863,134.0031,228.6041,42.0985,28.6077,59.2043,98.2536,0.035327,0.616415,0.746025,-0.000000,0.554161,0.756169,-0.015003,0.494455,0.694588,-0.011011,0.459636,0.621457,0.000176,0.453444,0.578747,0.011895,0.507009,0.557152,-0.023983,0.451548,0.478986,-0.016118,0.422442,0.438220,-0.010550,0.401433,0.402307,-0.008439,0.541067,0.519561,-0.008146,0.494621,0.538637,0.006651,0.491257,0.585610,0.019470,0.500884,0.612813,0.025692,0.570216,0.521690,0.008543,0.526253,0.548635,0.018876,0.522292,0.586981,0.022994,0.530117,0.611295,0.023159,0.592593,0.537676,0.024838,0.557608,0.556971,0.031506,0.551321,0.587629,0.034674,0.558928,0.616216,0.036651
3,1694850129.361732,1,-8.4523,-8.4523,-6.8606,5.1696,9.8788,332.5036,60.8036,6958.8383,1.2342,133.9066,228.0054,42.0111,29.1817,58.0619,97.2779,0.033550,0.617135,0.745285,-0.000000,0.553727,0.756184,-0.015545,0.493467,0.694904,-0.011369,0.458835,0.621498,-0.000023,0.455184,0.576083,0.011932,0.504964,0.556439,-0.022700,0.451111,0.477248,-0.014196,0.422750,0.436673,-0.008316,0.401966,0.401099,-0.006014,0.539327,0.518066,-0.006677,0.491856,0.538861,0.007735,0.487407,0.588658,0.019607,0.496255,0.620201,0.025426,0.567809,0.518527,0.010081,0.522270,0.546879,0.019410,0.519542,0.587937,0.022095,0.528182,0.616496,0.021815,0.589337,0.532898,0.026444,0.552719,0.553135,0.032764,0.546877,0.584923,0.035175,0.554697,0.616566,0.036853
4,1694850129.370065,1,-11.9882,-11.9882,-6.0295,0.8312,9.2875,282.8996,48.9532,6578.9173,1.5565,132.2361,225.5778,39.7450,27.3148,58.0586,97.3471,0.034847,0.618530,0.746942,-0.000000,0.555564,0.757171,-0.015625,0.493457,0.695841,-0.012265,0.457144,0.620695,-0.001594,0.456847,0.577561,0.009697,0.508329,0.557964,-0.024903,0.449983,0.480458,-0.016958,0.421316,0.440052,-0.011137,0.400224,0.403216,-0.008975,0.541538,0.519985,-0.008075,0.492421,0.537066,0.006309,0.490842,0.584391,0.019505,0.500967,0.612095,0.026142,0.569360,0.520683,0.009684,0.523473,0.547523,0.019538,0.520965,0.586141,0.023725,0.529651,0.611568,0.024172,0.590179,0.535029,0.027101,0.553373,0.553305,0.033786,0.547222,0.584369,0.036724,0.554762,0.614562,0.038475
5,1694850129.378398,1,7.2120,7.2120,4.5755,10.6049,7.3444,221.1774,21.9879,7378.8580,1.7017,134.3272,227.1259,45.7897,30.3109,57.8293,96.2402,0.033388,0.616596,0.746994,-0.000000,0.554457,0.756962,-0.015030,0.493848,0.695644,-0.012539,0.457754,0.619346,-0.002816,0.458383,0.572126,0.007258,0.508120,0.558383,-0.025088,0.451622,0.480253,-0.016228,0.423832,0.439190,-0.010350,0.403028,0.402608,-0.008264,0.541837,0.519519,-0.008178,0.495700,0.531228,0.009334,0.492763,0.575688,0.023448,0.501907,0.604340,0.029865,0.571318,0.521664,0.009887,0.528208,0.543153,0.022635,0.524609,0.580812,0.026794,0.532564,0.607919,0.026323,0.593917,0.537517,0.027725,0.560516,0.551993,0.036673,0.554865,0.581717,0.040111,0.562426,0.612250,0.041612
6,1694850129.386732,1,11.9372,11.9372,5.9670,1.3916,10.1691,308.2348,20.7095,6610.1417,1.3757,135.7932,231.0945,43.6531,31.9529,61.4051,101.0685,0.036659,0.616506,0.746280,-0.000000,0.553747,0.756908,-0.014757,0.492464,0.693892,-0.010776,0.457339,0.617727,0.000124,0.458126,0.572551,0.011477,0.506902,0.558077,-0.022573,0.452140,0.478386,-0.015101,0.423657,0.436217,-0.010442,0.402742,0.399599,-0.009168,0.541410,0.519344,-0.006942,0.495674,0.535223,0.007898,0.492983,0.583673,0.020490,0.502836,0.613254,0.026516,0.570990,0.520366,0.009463,0.527643,0.543677,0.020059,0.524282,0.582735,0.024211,0.532658,0.608809,0.024308,0.594215,0.536158,0.025421,0.560014,0.553825,0.032578,0.553979,0.584016,0.035820,0.561800,0.613611,0.037681
7,1694850129.395065,1,-9.8443,-9.8443,-0.3480,-6.3150,9.8161,75.9903,18.1084,6594.6253,1.5888,134.6682,226.3445,42.2360,27.7563,57.5511,97.0356,0.034151,0.617200,0.743628,-0.000000,0.554843,0.755583,-0.015245,0.493142,0.694210,-0.011906,0.457868,0.617998,-0.001481,0.456994,0.570599,0.009414,0.507976,0.559590,-0.023554,0.452507,0.482408,-0.015760,0.423785,0.440708,-0.010125,0.402752,0.404154,-0.007927,0.540563,0.519029,-0.007496,0.493146,0.535511,0.007595,0.491172,0.584086,0.021033,0.501425,0.613041,0.027856,0.568146,0.517701,0.009316,0.523617,0.544039,0.019400,0.521368,0.583722,0.023416,0.530445,0.609296,0.023697,0.589324,0.530288,0.025837,0.553507,0.551581,0.033150,0.548558,0.582571,0.036635,0.557110,0.611569,0.038682
8,1694850129.403398,1,11.4680,11.4680,5.8640,6.2120,10.4997,254.5552,2.4697,6788.0609,1.0413,134.4753,228.0008,43.4861,28.7636,57.4413,96.6282,0.033627,0.616719,0.745517,-0.000000,0.553574,0.755446,-0.013975,0.493338,0.693215,-0.010671,0.458397,0.617899,-0.000974,0.457084,0.575091,0.009161,0.508013,0.556978,-0.021848,0.452304,0.478593,-0.014538,0.423646,0.437668,-0.009497,0.403009,0.401763,-0.007933,0.541670,0.518556,-0.007305,0.494618,0.535785,0.005306,0.492021,0.583819,0.016651,0.501600,0.613184,0.022225,0.570204,0.519129,0.008133,0.525683,0.545790,0.017154,0.523456,0.585228,0.021027,0.532465,0.610993,0.021263,0.592059,0.534419,0.023181,0.556410,0.553369,0.029807,0.551216,0.584509,0.033108,0.559387,0.614015,0.035135
9,1694850129.411732,1,10.7244,10.7244,0.8781,-4.9859,8.2405,76.2035,7.1732,7149.3292,0.7681,134.1404,228.1452,43.1618,28.7522,58.9587,98.5511,0.035197,0.617325,0.747017,-0.000000,0.554513,0.755954,-0.015339,0.493362,0.694570,-0.012162,0.458896,0.618199,-0.001419,0.460070,0.571193,0.009917,0.508757,0.557210,-0.025088,0.450860,0.479146,-0.016192,0.422670,0.437960,-0.010045,0.401884,0.401137,-0.007561,0.542231,0.519032,-0.007554,0.495298,0.531014,0.010326,0.492197,0.575567,0.024806,0.501187,0.603649,0.031556,0.570802,0.520257,0.011000,0.526963,0.543020,0.023887,0.523104,0.580431,0.027800,0.530571,0.606522,0.027290,0.592468,0.534512,0.029327,0.557672,0.549085,0.038628,0.551042,0.578469,0.041958,0.557922,0.608953,0.043349
10,1694850129.420065,1,14.1962,14.1962,0.5648,-0.3133,8.8465,71.0999,48.0191,6584.9620,0.9503,133.1543,227.6386,42.1428,29.8351,59.5363,97.8162,0.036501,0.619069,0.745099,-0.000000,0.554588,0.756260,-0.015071,0.493475,0.694518,-0.012322,0.458464,0.617799,-0.002508,0.457252,0.575724,0.007747,0.508170,0.555332,-0.025611,0.450343,0.476965,-0.018207,0.421887,0.435748,-0.012629,0.400925,0.398240,-0.010517,0.541929,0.517369,-0.009471,0.492583,0.532679,0.003763,0.490952,0.578919,0.016117,0.501573,0.607164,0.022300,0.569977,0.519598,0.007842,0.524440,0.545541,0.016358,0.522378,0.583148,0.019825,0.532038,0.609454,0.020027,0.590738,0.535020,0.025015,0.554424,0.553339,0.030955,0.549962,0.583622,0.033876,0.558749,0.612592,0.035752
